CUSTOMER_PLACE_ORDER_DATETIME,PLACED_ORDER_WITH_RESTAURANT_DATETIME,DRIVER_AT_RESTAURANT_DATETIME,DELIVERED_TO_CUSTOMER_DATETIME,DRIVER_ID,RESTAURANT_ID,CUSTOMER_ID,DELIVERY_REGION,IS_ASAP,ORDER_TOTAL,DISCOUNT_AMOUNT,TIP_AMOUNT,REFUNDED_AMOUNT
9/20/2024 22:08:51,9/20/2024 22:08:52,9/20/2024 22:16:03,9/20/2024 22:31:23,36828872,11000,22130617,San Francisco,TRUE,$32.38,$0.00,$4.50,$0.00
9/21/2024 1:50:46,9/21/2024 1:50:46,9/21/2024 2:14:55,9/21/2024 2:41:15,33495972,11000,46519725,San Francisco,TRUE,$14.44,$2.99,$1.00,$0.00
9/21/2024 1:15:33,9/21/2024 1:15:33,9/21/2024 1:34:20,9/21/2024 1:57:22,29473770,11000,9410091,San Francisco,TRUE,$59.67,$0.00,$7.00,$0.00
9/20/2024 20:35:16,9/20/2024 20:35:16,9/20/2024 20:46:12,9/20/2024 20:57:16,33606300,11000,128056625,San Francisco,TRUE,$39.30,$0.00,$3.00,$0.00
9/21/2024 3:39:37,9/21/2024 3:39:37,9/21/2024 3:47:27,9/21/2024 4:04:13,29614391,11000,382291723,San Francisco,TRUE,$24.71,$0.00,$2.50,$0.00
9/20/2024 18:31:38,9/20/2024 18:31:52,9/20/2024 18:53:21,9/20/2024 19:03:19,36122288,11000,20574398,San Francisco,FALSE,$31.78,$0.00,$5.50,$0.00
9/21/2024 1:21:30,9/21/2024 1:21:30,9/21/2024 2:03:55,9/21/2024 2:15:56,35169610,11000,1301860867,San Francisco,TRUE,$54.49,$0.00,$2.00,$0.00
9/20/2024 19:40:42,9/20/2024 19:40:42,9/20/2024 19:52:31,9/20/2024 20:04:07,36088733,11000,40126975,San Francisco,TRUE,$17.72,$0.00,$2.00,$0.00
9/20/2024 20:28:23,9/20/2024 20:28:24,9/20/2024 20:43:39,9/20/2024 21:05:31,9688719,11000,1770526947,San Francisco,TRUE,$28.54,$0.00,$0.00,$0.00
9/20/2024 23:47:14,9/20/2024 23:47:14,9/20/2024 23:54:24,9/21/2024 0:01:36,35256177,11000,381225149,San Francisco,TRUE,$52.38,$0.00,$4.50,$0.00
9/21/2024 0:25:56,9/21/2024 0:25:56,9/21/2024 0:31:01,9/21/2024 0:45:43,33068295,11000,276998301,San Francisco,TRUE,$38.54,$0.00,$5.00,$0.00
9/21/2024 2:27:09,9/21/2024 2:27:10,9/21/2024 2:38:10,9/21/2024 3:06:48,35363194,11000,9544369,San Francisco,TRUE,$34.89,$0.00,$8.00,$0.00
9/21/2024 2:42:20,9/21/2024 2:42:20,9/21/2024 2:59:20,9/21/2024 3:10:11,11322061,11000,487086904,San Francisco,TRUE,$22.95,$0.00,$3.00,$0.00
9/21/2024 0:43:05,9/21/2024 0:43:06,9/21/2024 0:53:16,9/21/2024 1:23:22,29289617,11000,451152847,San Francisco,TRUE,$28.88,$0.00,$2.00,$0.00
9/21/2024 3:48:04,9/21/2024 3:48:04,9/21/2024 3:55:46,9/21/2024 4:16:01,36121428,11000,12160505,San Francisco,TRUE,$21.85,$0.00,$3.50,$0.00
9/21/2024 0:53:08,9/21/2024 0:53:09,9/21/2024 0:59:06,9/21/2024 1:11:01,36548335,11000,24924244,San Francisco,TRUE,$57.94,$0.00,$3.00,$0.00
9/20/2024 23:45:27,9/20/2024 23:45:27,9/20/2024 23:52:13,9/21/2024 0:22:31,20644119,11000,991450566,San Francisco,TRUE,$53.41,$0.00,$9.50,$0.00
9/12/2024 23:51:57,9/12/2024 23:51:57,9/12/2024 23:57:01,9/13/2024 0:11:50,24970135,11000,363164332,San Francisco,TRUE,$19.39,$0.00,$3.00,$0.00
9/13/2024 3:02:17,9/13/2024 3:02:18,9/13/2024 3:14:36,9/13/2024 3:32:59,28676547,11000,850458112,San Francisco,TRUE,$71.76,$0.00,$12.00,$0.00
9/12/2024 18:49:52,9/12/2024 18:49:52,9/12/2024 19:02:12,9/12/2024 19:10:00,36426494,11000,1620314028,San Francisco,TRUE,$49.82,$1.99,$3.50,$0.00
9/13/2024 3:06:09,9/13/2024 3:06:10,9/13/2024 3:15:38,9/13/2024 3:32:56,36037525,11000,1762595948,San Francisco,TRUE,$22.22,$0.00,$0.00,$0.00
9/12/2024 22:09:05,9/12/2024 22:09:06,9/12/2024 22:19:14,9/12/2024 22:46:36,33594152,11000,320610434,San Francisco,TRUE,$29.32,$0.00,$4.00,$0.00
9/13/2024 2:37:20,9/13/2024 2:37:20,9/13/2024 2:48:03,9/13/2024 3:07:55,37208460,11000,45435429,San Francisco,TRUE,$44.06,$0.00,$7.50,$0.00
9/12/2024 23:57:59,9/12/2024 23:58:00,9/13/2024 0:06:19,9/13/2024 0:27:53,36121428,11000,368928886,San Francisco,TRUE,$25.79,$0.00,$3.50,$0.00
